"TIME","GEO","WEIGHT","UNIT","Value","Flag and Footnotes"
"1990","Belgium","Total","Number","478,219",""
"1990","Belgium","Less than 1 000 kg","Number",":",""
"1990","Belgium","From 1 000 to 1 249 kg","Number",":",""
"1990","Belgium","From 1 250 to 1 499 kg","Number",":",""
"1990","Belgium","1 500 kg or over","Number",":",""
"1990","Bulgaria","Total","Number","46,433",""
"1990","Bulgaria","Less than 1 000 kg","Number",":",""
"1990","Bulgaria","From 1 000 to 1 249 kg","Number",":",""
"1990","Bulgaria","From 1 250 to 1 499 kg","Number",":",""
"1990","Bulgaria","1 500 kg or over","Number",":",""
"1990","Czech Republic","Total","Number",":",""
"1990","Czech Republic","Less than 1 000 kg","Number",":",""
"1990","Czech Republic","From 1 000 to 1 249 kg","Number",":",""
"1990","Czech Republic","From 1 250 to 1 499 kg","Number",":",""
"1990","Czech Republic","1 500 kg or over","Number",":",""
"1990","Denmark","Total","Number","80,837",""
"1990","Denmark","Less than 1 000 kg","Number",":",""
"1990","Denmark","From 1 000 to 1 249 kg","Number",":",""
"1990","Denmark","From 1 250 to 1 499 kg","Number",":",""
"1990","Denmark","1 500 kg or over","Number",":",""
"1990","Germany (until 1990 former territory of the FRG)","Total","Number","3,040,783",""
"1990","Germany (until 1990 former territory of the FRG)","Less than 1 000 kg","Number",":",""
"1990","Germany (until 1990 former territory of the FRG)","From 1 000 to 1 249 kg","Number",":",""
"1990","Germany (until 1990 former territory of the FRG)","From 1 250 to 1 499 kg","Number",":",""
"1990","Germany (until 1990 former territory of the FRG)","1 500 kg or over","Number",":",""
"1990","Estonia","Total","Number",":",""
"1990","Estonia","Less than 1 000 kg","Number",":",""
"1990","Estonia","From 1 000 to 1 249 kg","Number",":",""
"1990","Estonia","From 1 250 to 1 499 kg","Number",":",""
"1990","Estonia","1 500 kg or over","Number",":",""
"1990","Ireland","Total","Number","83,420",""
"1990","Ireland","Less than 1 000 kg","Number",":",""
"1990","Ireland","From 1 000 to 1 249 kg","Number",":",""
"1990","Ireland","From 1 250 to 1 499 kg","Number",":",""
"1990","Ireland","1 500 kg or over","Number",":",""
"1990","Greece","Total","Number","132,487",""
"1990","Greece","Less than 1 000 kg","Number",":",""
"1990","Greece","From 1 000 to 1 249 kg","Number",":",""
"1990","Greece","From 1 250 to 1 499 kg","Number",":",""
"1990","Greece","1 500 kg or over","Number",":",""
"1990","Spain","Total","Number","1,007,014",""
"1990","Spain","Less than 1 000 kg","Number",":",""
"1990","Spain","From 1 000 to 1 249 kg","Number",":",""
"1990","Spain","From 1 250 to 1 499 kg","Number",":",""
"1990","Spain","1 500 kg or over","Number",":",""
"1990","France","Total","Number","2,309,130",""
"1990","France","Less than 1 000 kg","Number",":",""
"1990","France","From 1 000 to 1 249 kg","Number",":",""
"1990","France","From 1 250 to 1 499 kg","Number",":",""
"1990","France","1 500 kg or over","Number",":",""
"1990","Croatia","Total","Number","66,214",""
"1990","Croatia","Less than 1 000 kg","Number",":",""
"1990","Croatia","From 1 000 to 1 249 kg","Number",":",""
"1990","Croatia","From 1 250 to 1 499 kg","Number",":",""
"1990","Croatia","1 500 kg or over","Number",":",""
"1990","Italy","Total","Number","2,395,909",""
"1990","Italy","Less than 1 000 kg","Number",":",""
"1990","Italy","From 1 000 to 1 249 kg","Number",":",""
"1990","Italy","From 1 250 to 1 499 kg","Number",":",""
"1990","Italy","1 500 kg or over","Number",":",""
"1990","Cyprus","Total","Number","19,532",""
"1990","Cyprus","Less than 1 000 kg","Number",":",""
"1990","Cyprus","From 1 000 to 1 249 kg","Number",":",""
"1990","Cyprus","From 1 250 to 1 499 kg","Number",":",""
"1990","Cyprus","1 500 kg or over","Number",":",""
"1990","Latvia","Total","Number",":",""
"1990","Latvia","Less than 1 000 kg","Number",":",""
"1990","Latvia","From 1 000 to 1 249 kg","Number",":",""
"1990","Latvia","From 1 250 to 1 499 kg","Number",":",""
"1990","Latvia","1 500 kg or over","Number",":",""
"1990","Lithuania","Total","Number",":",""
"1990","Lithuania","Less than 1 000 kg","Number",":",""
"1990","Lithuania","From 1 000 to 1 249 kg","Number",":",""
"1990","Lithuania","From 1 250 to 1 499 kg","Number",":",""
"1990","Lithuania","1 500 kg or over","Number",":",""
"1990","Luxembourg","Total","Number","38,648",""
"1990","Luxembourg","Less than 1 000 kg","Number",":",""
"1990","Luxembourg","From 1 000 to 1 249 kg","Number",":",""
"1990","Luxembourg","From 1 250 to 1 499 kg","Number",":",""
"1990","Luxembourg","1 500 kg or over","Number",":",""
"1990","Hungary","Total","Number","143,073",""
"1990","Hungary","Less than 1 000 kg","Number",":",""
"1990","Hungary","From 1 000 to 1 249 kg","Number",":",""
"1990","Hungary","From 1 250 to 1 499 kg","Number",":",""
"1990","Hungary","1 500 kg or over","Number",":",""
"1990","Malta","Total","Number","8,218",""
"1990","Malta","Less than 1 000 kg","Number",":",""
"1990","Malta","From 1 000 to 1 249 kg","Number",":",""
"1990","Malta","From 1 250 to 1 499 kg","Number",":",""
"1990","Malta","1 500 kg or over","Number",":",""
"1990","Netherlands","Total","Number","502,671",""
"1990","Netherlands","Less than 1 000 kg","Number",":",""
"1990","Netherlands","From 1 000 to 1 249 kg","Number",":",""
"1990","Netherlands","From 1 250 to 1 499 kg","Number",":",""
"1990","Netherlands","1 500 kg or over","Number",":",""
"1990","Austria","Total","Number","288,636",""
"1990","Austria","Less than 1 000 kg","Number",":",""
"1990","Austria","From 1 000 to 1 249 kg","Number",":",""
"1990","Austria","From 1 250 to 1 499 kg","Number",":",""
"1990","Austria","1 500 kg or over","Number",":",""
"1990","Poland","Total","Number","358,055",""
"1990","Poland","Less than 1 000 kg","Number",":",""
"1990","Poland","From 1 000 to 1 249 kg","Number",":",""
"1990","Poland","From 1 250 to 1 499 kg","Number",":",""
"1990","Poland","1 500 kg or over","Number",":",""
"1990","Portugal","Total","Number","212,348","d"
"1990","Portugal","Less than 1 000 kg","Number",":",""
"1990","Portugal","From 1 000 to 1 249 kg","Number",":",""
"1990","Portugal","From 1 250 to 1 499 kg","Number",":",""
"1990","Portugal","1 500 kg or over","Number",":",""
"1990","Romania","Total","Number",":",""
"1990","Romania","Less than 1 000 kg","Number",":",""
"1990","Romania","From 1 000 to 1 249 kg","Number",":",""
"1990","Romania","From 1 250 to 1 499 kg","Number",":",""
"1990","Romania","1 500 kg or over","Number",":",""
"1990","Slovenia","Total","Number",":",""
"1990","Slovenia","Less than 1 000 kg","Number",":",""
"1990","Slovenia","From 1 000 to 1 249 kg","Number",":",""
"1990","Slovenia","From 1 250 to 1 499 kg","Number",":",""
"1990","Slovenia","1 500 kg or over","Number",":",""
"1990","Slovakia","Total","Number",":",""
"1990","Slovakia","Less than 1 000 kg","Number",":",""
"1990","Slovakia","From 1 000 to 1 249 kg","Number",":",""
"1990","Slovakia","From 1 250 to 1 499 kg","Number",":",""
"1990","Slovakia","1 500 kg or over","Number",":",""
"1990","Finland","Total","Number","139,742","d"
"1990","Finland","Less than 1 000 kg","Number",":",""
"1990","Finland","From 1 000 to 1 249 kg","Number",":",""
"1990","Finland","From 1 250 to 1 499 kg","Number",":",""
"1990","Finland","1 500 kg or over","Number",":",""
"1990","Sweden","Total","Number","235,192",""
"1990","Sweden","Less than 1 000 kg","Number",":",""
"1990","Sweden","From 1 000 to 1 249 kg","Number",":",""
"1990","Sweden","From 1 250 to 1 499 kg","Number",":",""
"1990","Sweden","1 500 kg or over","Number",":",""
"1990","United Kingdom","Total","Number","2,075,982",""
"1990","United Kingdom","Less than 1 000 kg","Number",":",""
"1990","United Kingdom","From 1 000 to 1 249 kg","Number",":",""
"1990","United Kingdom","From 1 250 to 1 499 kg","Number",":",""
"1990","United Kingdom","1 500 kg or over","Number",":",""
"1990","Iceland","Total","Number",":",""
"1990","Iceland","Less than 1 000 kg","Number",":",""
"1990","Iceland","From 1 000 to 1 249 kg","Number",":",""
"1990","Iceland","From 1 250 to 1 499 kg","Number",":",""
"1990","Iceland","1 500 kg or over","Number",":",""
"1990","Liechtenstein","Total","Number",":",""
"1990","Liechtenstein","Less than 1 000 kg","Number",":",""
"1990","Liechtenstein","From 1 000 to 1 249 kg","Number",":",""
"1990","Liechtenstein","From 1 250 to 1 499 kg","Number",":",""
"1990","Liechtenstein","1 500 kg or over","Number",":",""
"1990","Norway","Total","Number","63,668",""
"1990","Norway","Less than 1 000 kg","Number",":",""
"1990","Norway","From 1 000 to 1 249 kg","Number",":",""
"1990","Norway","From 1 250 to 1 499 kg","Number",":",""
"1990","Norway","1 500 kg or over","Number",":",""
"1990","Switzerland","Total","Number","322,974",""
"1990","Switzerland","Less than 1 000 kg","Number",":",""
"1990","Switzerland","From 1 000 to 1 249 kg","Number",":",""
"1990","Switzerland","From 1 250 to 1 499 kg","Number",":",""
"1990","Switzerland","1 500 kg or over","Number",":",""
"1990","Former Yugoslav Republic of Macedonia, the","Total","Number","13,809",""
"1990","Former Yugoslav Republic of Macedonia, the","Less than 1 000 kg","Number",":",""
"1990","Former Yugoslav Republic of Macedonia, the","From 1 000 to 1 249 kg","Number",":",""
"1990","Former Yugoslav Republic of Macedonia, the","From 1 250 to 1 499 kg","Number",":",""
"1990","Former Yugoslav Republic of Macedonia, the","1 500 kg or over","Number",":",""
"1990","Turkey","Total","Number","218,059",""
"1990","Turkey","Less than 1 000 kg","Number",":",""
"1990","Turkey","From 1 000 to 1 249 kg","Number",":",""
"1990","Turkey","From 1 250 to 1 499 kg","Number",":",""
"1990","Turkey","1 500 kg or over","Number",":",""
"1991","Belgium","Total","Number","46,766",""
"1991","Belgium","Less than 1 000 kg","Number",":",""
"1991","Belgium","From 1 000 to 1 249 kg","Number",":",""
"1991","Belgium","From 1 250 to 1 499 kg","Number",":",""
"1991","Belgium","1 500 kg or over","Number",":",""
"1991","Bulgaria","Total","Number","31,093",""
"1991","Bulgaria","Less than 1 000 kg","Number",":",""
"1991","Bulgaria","From 1 000 to 1 249 kg","Number",":",""
"1991","Bulgaria","From 1 250 to 1 499 kg","Number",":",""
"1991","Bulgaria","1 500 kg or over","Number",":",""
"1991","Czech Republic","Total","Number",":",""
"1991","Czech Republic","Less than 1 000 kg","Number",":",""
"1991","Czech Republic","From 1 000 to 1 249 kg","Number",":",""
"1991","Czech Republic","From 1 250 to 1 499 kg","Number",":",""
"1991","Czech Republic","1 500 kg or over","Number",":",""
"1991","Denmark","Total","Number","83,828",""
"1991","Denmark","Less than 1 000 kg","Number",":",""
"1991","Denmark","From 1 000 to 1 249 kg","Number",":",""
"1991","Denmark","From 1 250 to 1 499 kg","Number",":",""
"1991","Denmark","1 500 kg or over","Number",":",""
"1991","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"1991","Germany (until 1990 former territory of the FRG)","Less than 1 000 kg","Number",":",""
"1991","Germany (until 1990 former territory of the FRG)","From 1 000 to 1 249 kg","Number",":",""
"1991","Germany (until 1990 former territory of the FRG)","From 1 250 to 1 499 kg","Number",":",""
"1991","Germany (until 1990 former territory of the FRG)","1 500 kg or over","Number",":",""
"1991","Estonia","Total","Number",":",""
"1991","Estonia","Less than 1 000 kg","Number",":",""
"1991","Estonia","From 1 000 to 1 249 kg","Number",":",""
"1991","Estonia","From 1 250 to 1 499 kg","Number",":",""
"1991","Estonia","1 500 kg or over","Number",":",""
"1991","Ireland","Total","Number","68,533",""
"1991","Ireland","Less than 1 000 kg","Number",":",""
"1991","Ireland","From 1 000 to 1 249 kg","Number",":",""
"1991","Ireland","From 1 250 to 1 499 kg","Number",":",""
"1991","Ireland","1 500 kg or over","Number",":",""
"1991","Greece","Total","Number","176,862",""
"1991","Greece","Less than 1 000 kg","Number",":",""
"1991","Greece","From 1 000 to 1 249 kg","Number",":",""
"1991","Greece","From 1 250 to 1 499 kg","Number",":",""
"1991","Greece","1 500 kg or over","Number",":",""
"1991","Spain","Total","Number","914,061",""
"1991","Spain","Less than 1 000 kg","Number",":",""
"1991","Spain","From 1 000 to 1 249 kg","Number",":",""
"1991","Spain","From 1 250 to 1 499 kg","Number",":",""
"1991","Spain","1 500 kg or over","Number",":",""
"1991","France","Total","Number","2,031,274",""
"1991","France","Less than 1 000 kg","Number",":",""
"1991","France","From 1 000 to 1 249 kg","Number",":",""
"1991","France","From 1 250 to 1 499 kg","Number",":",""
"1991","France","1 500 kg or over","Number",":",""
"1991","Croatia","Total","Number","85,813",""
"1991","Croatia","Less than 1 000 kg","Number",":",""
"1991","Croatia","From 1 000 to 1 249 kg","Number",":",""
"1991","Croatia","From 1 250 to 1 499 kg","Number",":",""
"1991","Croatia","1 500 kg or over","Number",":",""
"1991","Italy","Total","Number","2,217,257",""
"1991","Italy","Less than 1 000 kg","Number",":",""
"1991","Italy","From 1 000 to 1 249 kg","Number",":",""
"1991","Italy","From 1 250 to 1 499 kg","Number",":",""
"1991","Italy","1 500 kg or over","Number",":",""
"1991","Cyprus","Total","Number","17,681",""
"1991","Cyprus","Less than 1 000 kg","Number",":",""
"1991","Cyprus","From 1 000 to 1 249 kg","Number",":",""
"1991","Cyprus","From 1 250 to 1 499 kg","Number",":",""
"1991","Cyprus","1 500 kg or over","Number",":",""
"1991","Latvia","Total","Number",":",""
"1991","Latvia","Less than 1 000 kg","Number",":",""
"1991","Latvia","From 1 000 to 1 249 kg","Number",":",""
"1991","Latvia","From 1 250 to 1 499 kg","Number",":",""
"1991","Latvia","1 500 kg or over","Number",":",""
"1991","Lithuania","Total","Number",":",""
"1991","Lithuania","Less than 1 000 kg","Number",":",""
"1991","Lithuania","From 1 000 to 1 249 kg","Number",":",""
"1991","Lithuania","From 1 250 to 1 499 kg","Number",":",""
"1991","Lithuania","1 500 kg or over","Number",":",""
"1991","Luxembourg","Total","Number","44,055",""
"1991","Luxembourg","Less than 1 000 kg","Number",":",""
"1991","Luxembourg","From 1 000 to 1 249 kg","Number",":",""
"1991","Luxembourg","From 1 250 to 1 499 kg","Number",":",""
"1991","Luxembourg","1 500 kg or over","Number",":",""
"1991","Hungary","Total","Number",":",""
"1991","Hungary","Less than 1 000 kg","Number",":",""
"1991","Hungary","From 1 000 to 1 249 kg","Number",":",""
"1991","Hungary","From 1 250 to 1 499 kg","Number",":",""
"1991","Hungary","1 500 kg or over","Number",":",""
"1991","Malta","Total","Number",":",""
"1991","Malta","Less than 1 000 kg","Number",":",""
"1991","Malta","From 1 000 to 1 249 kg","Number",":",""
"1991","Malta","From 1 250 to 1 499 kg","Number",":",""
"1991","Malta","1 500 kg or over","Number",":",""
"1991","Netherlands","Total","Number","490,407",""
"1991","Netherlands","Less than 1 000 kg","Number",":",""
"1991","Netherlands","From 1 000 to 1 249 kg","Number",":",""
"1991","Netherlands","From 1 250 to 1 499 kg","Number",":",""
"1991","Netherlands","1 500 kg or over","Number",":",""
"1991","Austria","Total","Number","303,723",""
"1991","Austria","Less than 1 000 kg","Number",":",""
"1991","Austria","From 1 000 to 1 249 kg","Number",":",""
"1991","Austria","From 1 250 to 1 499 kg","Number",":",""
"1991","Austria","1 500 kg or over","Number",":",""
"1991","Poland","Total","Number","734,885",""
"1991","Poland","Less than 1 000 kg","Number",":",""
"1991","Poland","From 1 000 to 1 249 kg","Number",":",""
"1991","Poland","From 1 250 to 1 499 kg","Number",":",""
"1991","Poland","1 500 kg or over","Number",":",""
"1991","Portugal","Total","Number","231,176","d"
"1991","Portugal","Less than 1 000 kg","Number",":",""
"1991","Portugal","From 1 000 to 1 249 kg","Number",":",""
"1991","Portugal","From 1 250 to 1 499 kg","Number",":",""
"1991","Portugal","1 500 kg or over","Number",":",""
"1991","Romania","Total","Number",":",""
"1991","Romania","Less than 1 000 kg","Number",":",""
"1991","Romania","From 1 000 to 1 249 kg","Number",":",""
"1991","Romania","From 1 250 to 1 499 kg","Number",":",""
"1991","Romania","1 500 kg or over","Number",":",""
"1991","Slovenia","Total","Number",":",""
"1991","Slovenia","Less than 1 000 kg","Number",":",""
"1991","Slovenia","From 1 000 to 1 249 kg","Number",":",""
"1991","Slovenia","From 1 250 to 1 499 kg","Number",":",""
"1991","Slovenia","1 500 kg or over","Number",":",""
"1991","Slovakia","Total","Number",":",""
"1991","Slovakia","Less than 1 000 kg","Number",":",""
"1991","Slovakia","From 1 000 to 1 249 kg","Number",":",""
"1991","Slovakia","From 1 250 to 1 499 kg","Number",":",""
"1991","Slovakia","1 500 kg or over","Number",":",""
"1991","Finland","Total","Number","92,979","d"
"1991","Finland","Less than 1 000 kg","Number",":",""
"1991","Finland","From 1 000 to 1 249 kg","Number",":",""
"1991","Finland","From 1 250 to 1 499 kg","Number",":",""
"1991","Finland","1 500 kg or over","Number",":",""
"1991","Sweden","Total","Number","191,755",""
"1991","Sweden","Less than 1 000 kg","Number",":",""
"1991","Sweden","From 1 000 to 1 249 kg","Number",":",""
"1991","Sweden","From 1 250 to 1 499 kg","Number",":",""
"1991","Sweden","1 500 kg or over","Number",":",""
"1991","United Kingdom","Total","Number","1,665,664",""
"1991","United Kingdom","Less than 1 000 kg","Number",":",""
"1991","United Kingdom","From 1 000 to 1 249 kg","Number",":",""
"1991","United Kingdom","From 1 250 to 1 499 kg","Number",":",""
"1991","United Kingdom","1 500 kg or over","Number",":",""
"1991","Iceland","Total","Number",":",""
"1991","Iceland","Less than 1 000 kg","Number",":",""
"1991","Iceland","From 1 000 to 1 249 kg","Number",":",""
"1991","Iceland","From 1 250 to 1 499 kg","Number",":",""
"1991","Iceland","1 500 kg or over","Number",":",""
"1991","Liechtenstein","Total","Number",":",""
"1991","Liechtenstein","Less than 1 000 kg","Number",":",""
"1991","Liechtenstein","From 1 000 to 1 249 kg","Number",":",""
"1991","Liechtenstein","From 1 250 to 1 499 kg","Number",":",""
"1991","Liechtenstein","1 500 kg or over","Number",":",""
"1991","Norway","Total","Number","55,111",""
"1991","Norway","Less than 1 000 kg","Number",":",""
"1991","Norway","From 1 000 to 1 249 kg","Number",":",""
"1991","Norway","From 1 250 to 1 499 kg","Number",":",""
"1991","Norway","1 500 kg or over","Number",":",""
"1991","Switzerland","Total","Number","310,193",""
"1991","Switzerland","Less than 1 000 kg","Number",":",""
"1991","Switzerland","From 1 000 to 1 249 kg","Number",":",""
"1991","Switzerland","From 1 250 to 1 499 kg","Number",":",""
"1991","Switzerland","1 500 kg or over","Number",":",""
"1991","Former Yugoslav Republic of Macedonia, the","Total","Number","13,069",""
"1991","Former Yugoslav Republic of Macedonia, the","Less than 1 000 kg","Number",":",""
"1991","Former Yugoslav Republic of Macedonia, the","From 1 000 to 1 249 kg","Number",":",""
"1991","Former Yugoslav Republic of Macedonia, the","From 1 250 to 1 499 kg","Number",":",""
"1991","Former Yugoslav Republic of Macedonia, the","1 500 kg or over","Number",":",""
"1991","Turkey","Total","Number",":",""
"1991","Turkey","Less than 1 000 kg","Number",":",""
"1991","Turkey","From 1 000 to 1 249 kg","Number",":",""
"1991","Turkey","From 1 250 to 1 499 kg","Number",":",""
"1991","Turkey","1 500 kg or over","Number",":",""
"1992","Belgium","Total","Number","485,697",""
"1992","Belgium","Less than 1 000 kg","Number",":",""
"1992","Belgium","From 1 000 to 1 249 kg","Number",":",""
"1992","Belgium","From 1 250 to 1 499 kg","Number",":",""
"1992","Belgium","1 500 kg or over","Number",":",""
"1992","Bulgaria","Total","Number","44,186",""
"1992","Bulgaria","Less than 1 000 kg","Number",":",""
"1992","Bulgaria","From 1 000 to 1 249 kg","Number",":",""
"1992","Bulgaria","From 1 250 to 1 499 kg","Number",":",""
"1992","Bulgaria","1 500 kg or over","Number",":",""
"1992","Czech Republic","Total","Number",":",""
"1992","Czech Republic","Less than 1 000 kg","Number",":",""
"1992","Czech Republic","From 1 000 to 1 249 kg","Number",":",""
"1992","Czech Republic","From 1 250 to 1 499 kg","Number",":",""
"1992","Czech Republic","1 500 kg or over","Number",":",""
"1992","Denmark","Total","Number","84,170",""
"1992","Denmark","Less than 1 000 kg","Number",":",""
"1992","Denmark","From 1 000 to 1 249 kg","Number",":",""
"1992","Denmark","From 1 250 to 1 499 kg","Number",":",""
"1992","Denmark","1 500 kg or over","Number",":",""
"1992","Germany (until 1990 former territory of the FRG)","Total","Number","3,929,558",""
"1992","Germany (until 1990 former territory of the FRG)","Less than 1 000 kg","Number",":",""
"1992","Germany (until 1990 former territory of the FRG)","From 1 000 to 1 249 kg","Number",":",""
"1992","Germany (until 1990 former territory of the FRG)","From 1 250 to 1 499 kg","Number",":",""
"1992","Germany (until 1990 former territory of the FRG)","1 500 kg or over","Number",":",""
"1992","Estonia","Total","Number","36,284",""
"1992","Estonia","Less than 1 000 kg","Number",":",""
"1992","Estonia","From 1 000 to 1 249 kg","Number",":",""
"1992","Estonia","From 1 250 to 1 499 kg","Number",":",""
"1992","Estonia","1 500 kg or over","Number",":",""
"1992","Ireland","Total","Number","67,861",""
"1992","Ireland","Less than 1 000 kg","Number",":",""
"1992","Ireland","From 1 000 to 1 249 kg","Number",":",""
"1992","Ireland","From 1 250 to 1 499 kg","Number",":",""
"1992","Ireland","1 500 kg or over","Number",":",""
"1992","Greece","Total","Number","206,652",""
"1992","Greece","Less than 1 000 kg","Number",":",""
"1992","Greece","From 1 000 to 1 249 kg","Number",":",""
"1992","Greece","From 1 250 to 1 499 kg","Number",":",""
"1992","Greece","1 500 kg or over","Number",":",""
"1992","Spain","Total","Number","1,008,454",""
"1992","Spain","Less than 1 000 kg","Number",":",""
"1992","Spain","From 1 000 to 1 249 kg","Number",":",""
"1992","Spain","From 1 250 to 1 499 kg","Number",":",""
"1992","Spain","1 500 kg or over","Number",":",""
"1992","France","Total","Number","2,105,700",""
"1992","France","Less than 1 000 kg","Number",":",""
"1992","France","From 1 000 to 1 249 kg","Number",":",""
"1992","France","From 1 250 to 1 499 kg","Number",":",""
"1992","France","1 500 kg or over","Number",":",""
"1992","Croatia","Total","Number","31,928",""
"1992","Croatia","Less than 1 000 kg","Number",":",""
"1992","Croatia","From 1 000 to 1 249 kg","Number",":",""
"1992","Croatia","From 1 250 to 1 499 kg","Number",":",""
"1992","Croatia","1 500 kg or over","Number",":",""
"1992","Italy","Total","Number","2,341,402",""
"1992","Italy","Less than 1 000 kg","Number",":",""
"1992","Italy","From 1 000 to 1 249 kg","Number",":",""
"1992","Italy","From 1 250 to 1 499 kg","Number",":",""
"1992","Italy","1 500 kg or over","Number",":",""
"1992","Cyprus","Total","Number","18,178",""
"1992","Cyprus","Less than 1 000 kg","Number",":",""
"1992","Cyprus","From 1 000 to 1 249 kg","Number",":",""
"1992","Cyprus","From 1 250 to 1 499 kg","Number",":",""
"1992","Cyprus","1 500 kg or over","Number",":",""
"1992","Latvia","Total","Number",":",""
"1992","Latvia","Less than 1 000 kg","Number",":",""
"1992","Latvia","From 1 000 to 1 249 kg","Number",":",""
"1992","Latvia","From 1 250 to 1 499 kg","Number",":",""
"1992","Latvia","1 500 kg or over","Number",":",""
"1992","Lithuania","Total","Number",":",""
"1992","Lithuania","Less than 1 000 kg","Number",":",""
"1992","Lithuania","From 1 000 to 1 249 kg","Number",":",""
"1992","Lithuania","From 1 250 to 1 499 kg","Number",":",""
"1992","Lithuania","1 500 kg or over","Number",":",""
"1992","Luxembourg","Total","Number","37,133",""
"1992","Luxembourg","Less than 1 000 kg","Number",":",""
"1992","Luxembourg","From 1 000 to 1 249 kg","Number",":",""
"1992","Luxembourg","From 1 250 to 1 499 kg","Number",":",""
"1992","Luxembourg","1 500 kg or over","Number",":",""
"1992","Hungary","Total","Number","45,122",""
"1992","Hungary","Less than 1 000 kg","Number",":",""
"1992","Hungary","From 1 000 to 1 249 kg","Number",":",""
"1992","Hungary","From 1 250 to 1 499 kg","Number",":",""
"1992","Hungary","1 500 kg or over","Number",":",""
"1992","Malta","Total","Number",":",""
"1992","Malta","Less than 1 000 kg","Number",":",""
"1992","Malta","From 1 000 to 1 249 kg","Number",":",""
"1992","Malta","From 1 250 to 1 499 kg","Number",":",""
"1992","Malta","1 500 kg or over","Number",":",""
"1992","Netherlands","Total","Number","492,130",""
"1992","Netherlands","Less than 1 000 kg","Number",":",""
"1992","Netherlands","From 1 000 to 1 249 kg","Number",":",""
"1992","Netherlands","From 1 250 to 1 499 kg","Number",":",""
"1992","Netherlands","1 500 kg or over","Number",":",""
"1992","Austria","Total","Number","320,094",""
"1992","Austria","Less than 1 000 kg","Number",":",""
"1992","Austria","From 1 000 to 1 249 kg","Number",":",""
"1992","Austria","From 1 250 to 1 499 kg","Number",":",""
"1992","Austria","1 500 kg or over","Number",":",""
"1992","Poland","Total","Number","471,026",""
"1992","Poland","Less than 1 000 kg","Number",":",""
"1992","Poland","From 1 000 to 1 249 kg","Number",":",""
"1992","Poland","From 1 250 to 1 499 kg","Number",":",""
"1992","Poland","1 500 kg or over","Number",":",""
"1992","Portugal","Total","Number","280,035","d"
"1992","Portugal","Less than 1 000 kg","Number",":",""
"1992","Portugal","From 1 000 to 1 249 kg","Number",":",""
"1992","Portugal","From 1 250 to 1 499 kg","Number",":",""
"1992","Portugal","1 500 kg or over","Number",":",""
"1992","Romania","Total","Number",":",""
"1992","Romania","Less than 1 000 kg","Number",":",""
"1992","Romania","From 1 000 to 1 249 kg","Number",":",""
"1992","Romania","From 1 250 to 1 499 kg","Number",":",""
"1992","Romania","1 500 kg or over","Number",":",""
"1992","Slovenia","Total","Number","31,191",""
"1992","Slovenia","Less than 1 000 kg","Number",":",""
"1992","Slovenia","From 1 000 to 1 249 kg","Number",":",""
"1992","Slovenia","From 1 250 to 1 499 kg","Number",":",""
"1992","Slovenia","1 500 kg or over","Number",":",""
"1992","Slovakia","Total","Number",":",""
"1992","Slovakia","Less than 1 000 kg","Number",":",""
"1992","Slovakia","From 1 000 to 1 249 kg","Number",":",""
"1992","Slovakia","From 1 250 to 1 499 kg","Number",":",""
"1992","Slovakia","1 500 kg or over","Number",":",""
"1992","Finland","Total","Number","68,891","d"
"1992","Finland","Less than 1 000 kg","Number",":",""
"1992","Finland","From 1 000 to 1 249 kg","Number",":",""
"1992","Finland","From 1 250 to 1 499 kg","Number",":",""
"1992","Finland","1 500 kg or over","Number",":",""
"1992","Sweden","Total","Number","157,295",""
"1992","Sweden","Less than 1 000 kg","Number",":",""
"1992","Sweden","From 1 000 to 1 249 kg","Number",":",""
"1992","Sweden","From 1 250 to 1 499 kg","Number",":",""
"1992","Sweden","1 500 kg or over","Number",":",""
"1992","United Kingdom","Total","Number","1,663,846",""
"1992","United Kingdom","Less than 1 000 kg","Number",":",""
"1992","United Kingdom","From 1 000 to 1 249 kg","Number",":",""
"1992","United Kingdom","From 1 250 to 1 499 kg","Number",":",""
"1992","United Kingdom","1 500 kg or over","Number",":",""
"1992","Iceland","Total","Number",":",""
"1992","Iceland","Less than 1 000 kg","Number",":",""
"1992","Iceland","From 1 000 to 1 249 kg","Number",":",""
"1992","Iceland","From 1 250 to 1 499 kg","Number",":",""
"1992","Iceland","1 500 kg or over","Number",":",""
"1992","Liechtenstein","Total","Number",":",""
"1992","Liechtenstein","Less than 1 000 kg","Number",":",""
"1992","Liechtenstein","From 1 000 to 1 249 kg","Number",":",""
"1992","Liechtenstein","From 1 250 to 1 499 kg","Number",":",""
"1992","Liechtenstein","1 500 kg or over","Number",":",""
"1992","Norway","Total","Number","61,648",""
"1992","Norway","Less than 1 000 kg","Number",":",""
"1992","Norway","From 1 000 to 1 249 kg","Number",":",""
"1992","Norway","From 1 250 to 1 499 kg","Number",":",""
"1992","Norway","1 500 kg or over","Number",":",""
"1992","Switzerland","Total","Number","286,289",""
"1992","Switzerland","Less than 1 000 kg","Number",":",""
"1992","Switzerland","From 1 000 to 1 249 kg","Number",":",""
"1992","Switzerland","From 1 250 to 1 499 kg","Number",":",""
"1992","Switzerland","1 500 kg or over","Number",":",""
"1992","Former Yugoslav Republic of Macedonia, the","Total","Number","4,802",""
